title,text,category,source
NYMEX. Թանկարժեք մետաղների գները նվազել են. 06-03-23,"NYMEX բորսայի մարտի 6-ի առևտրային նստաշրջանի արդյունքում սահմանվել են ոսկու, արծաթի և պլատինի հետևյալ գները.Ոսկու գինը նվազել է 0.42%-ով և կազմել 1852.70 դոլար, արծաթի գինը նվազել է 0.84%-ով և կազմել 21.16 դոլար, իսկ պլատինի գինը նվազել է 0.09%-ով և կազմել 980.60 դոլար:Չափման միավորը 1 տրոյական ունցիան է (31.1 գրամ):Նյու Յորքի NYMEХ-ն (New York Merchantile Exchange) ամերիկայն ֆյուչերսային բորսա է, որն առեւտուրը շարունակվում է երկու բորսայական միավորներով` NYMEX-ի` նավթի, գազի, պլատինի, պալադիումի, էթանոլի, ածխի, էլեկտրաէներգիայի եւ ածխածնի երկօքսիդի արտանետումների և COMEX-ի ոսկու, արծաթի, պղինձի, ալյումինի ուղություններով:",Economy,https://armenpress.am/hy/article/1105737
Ոստիկանները պարզել են վրաերթի հետևանքով մահացած տղամարդու ինքնությունը,"Ոստիկանության Նոր Նորքի բաժնում հունիսի 23-ինհաղորդում էր ստացվել «ԳԱԶ-31105» մակնիշի ավտոմեքենայով Երևանի Ծարավ Աղբյուրի փողոցում ինքնությունը չպարզված տղամարդու վրաերթի ենթարկելու մասին: Վերջինս հունիսի 25-ին հիվանդանոցում գիտակցության չգալով մահացել էր:Ինչպես «Արմենպրես»-ին տեղեկացրին ՀՀ ոստիկանության հասարակայնության հետ կապերի և լրատվության վարչությունից, ոստիկանության Նոր Նորքի և Կենտրոնականի բաժինների քրեական հետախույզների ձեռնարկած միջոցառումների արդյունքում պարզվել է, որ անձը չպարզված տղամարդը ոստիկանության Կենտրոնականի բաժնի կողմից որպես անհայտ կորած որոնվող, Երևանի Նոր Նորքի 6-րդ փողոցի բնակիչ, 1986 թ. ծնված Պողոս Գարջյանն է:",Society,https://armenpress.am/hy/article/811839
ԿԳՄՍ նախարարն ուղերձ է հղել Արվեստի միջազգային օրվա առթիվ,"Հայաստանի կրթության, գիտության, սպորտի և մշակույթի նախարար Ժաննա Անդրեասյանը շնորհավորական ուղերձ է հղել Արվեստի միջազգային օրվա առթիվ։«Արմենպրես»-ը ներկայացնում է ԿԳՄՍ նախարարի ուղերձը։ «Սիրելի՛ արվեստագետներ և արվեստասեր հանրություն, ապրիլի 15-ին աշխարհը տոնում է Արվեստի միջազգային օրը: Այն առաջին անգամ նշվել է 2012 թվականին, իսկ 2019 թվականից ներառվել ՅՈՒՆԵՍԿՕ-ի տոների օրացույցում:Օրը խորհրդանշական է և կապված է Լեոնարդո դա Վինչիի հետ, որը, իրավմամբ, համարվում է ստեղծագործական ինքնարտահայտման, հումանզիմի, արվեստի և գիտության միասնականության խորհրդանիշը: Տոնը միտված է նպաստելու արվեստի և ստեղծարարության զարգացմանը, խրախուսելու մշակութային բազմազանությունը:Իրապես, արվեստը սահմաններ չունի. այն բոլորիս հետ խոսում է իրեն բնորոշ լեզվով, որը համամարդկային է և կոչված է միավորելու մարդկանց՝ անկախ տարածությունից, ժամանակից, երկրից ու մշակույթից։ Այն ոչ միայն զգացմունքների, այլև յուրաքանչյուր ազգի կամ ժողովրդի ինքնության լավագույն արտահայտությունն է։Հազարամյակների պատմություն և ավանդույթներ ունեցող հայկական արվեստը մեր ինքնության հիմնասյուներից է: Ամեն նկարի, ստեղծագործության, երաժշտության ու ներկայացման մեջ ապրում են մեր պատմությունը, հավատը, երազանքը, ապագայի մեր տեսլականը։ Արվեստի միջազգային օրը լավագույն հնարավորությունն է՝ առանձնահատուկ շնորհակալություն հայտնելու մեր արվեստագետներին և արվեստի գործիչներին՝ նկարիչներին, դերասաններին, երաժիշտներին, գրողներին, քանդակագործներին և բոլոր նրանց, ովքեր իրենց գործով հարստացնում են մեր հոգևոր կյանքը, ապրեցնում և հնչեցնում Հայաստանի մշակութային ձայնը՝ թե՛ մեր երկրում, թե՛ աշխարհում։Պետության անմիջական աջակցությամբ և հետևողական քաղաքականության շնորհիվ մեր մշակութային կառույցներն արվեստի բոլոր բնագավառներում՝ սկսած գրականությունից մինչև թատրոն, երաժշտությունից մինչև նկարչություն և ցուցահանդեսներ, աշխատում են ամենօրյա հագեցած օրակարգով՝ հանրությանը մշտապես ներկայացնելով արվեստի բարձրակարգ դրսևորումներ: Շարունակաբար ստեղծվում են հնարավորություններ՝ հանրությանը՝ թե՛ երեխաներին, թե՛ մեծահասակներին, հնարավորինս մոտեցնելու արվեստի կախարդական աշխարհին՝ հաղորդակից դարձնելով հայ և համաշխարհային գործերին:Նախորդ տարի պետության բաժանորդային ծրագրով մեր թանգարաններ, թատրոններ և համերգասրահներ է այցելել շուրջ 310 հազար դպրոցական, իսկ կրթամշակութային 21 ծրագրերին մասնակցել է ավելի քան 31 հազար երեխա՝ 2024 թվականի նկատմամբ գրանցելով 49 տոկոս աճ:Թերևս պետք է նշել, որ մշակութային ակտիվ կյանքը հնարավոր է դառնում նաև ֆինանսական ակտիվ հոսքերի արդյունքում: Այս առումով ոլորտում կարևոր ձեռքբերում է մշակույթի տնտեսականացումը, որով սեփական եկամուտների աճ են գրանցել մշակութային հաստատությունները: Արդյունքի մասին խոսում են թվերը. թատրոնների սեփական եկամուտներն ավելացել են 152 տոկոսով՝ կազմելով 2,9 մլրդ դրամ, համերգային կազմակերպություններինը՝ 153 տոկոսով՝ կազմելով 1,23 մլրդ դրամ, թանգարաններինը՝ 112 տոկոսով՝ կազմելով 1,63 մլրդ դրամ:Սիրելի՛ արվեստասերներ, ապրիլի 15-ին սպասվում են հետաքրքիր մշակութային նախագծեր: Սիրով հրավիրում ենք բոլորիդ՝ դառնալու գեղեցիկ միջոցառումների մասնակիցը:Շնորհավո՛ր Արվեստի միջազգային օր»։",Culture,https://armenpress.am/hy/article/1247397
Իրավաբանի հետ խորհրդակցելուց հետո Բլատերը որոշել է հեռանալ ՖԻՖԱ-ից,"ՖԻՖԱ-ի դեռևս գործող նախագահ Ժոզեֆ Բլատերը իրավաբանի խորհրդով որոշել է հեռանալ ՖԻՖԱ-ի նախագահի պաշտոնից:«Արմենպրես»-ի հաղորդմամբ, ամերիկյան New York Times պարբերականը գրում է, որ պաշտոնապես Բլատերին ոչ մի մեղադրանք չի ներկայացվել: Սակայն այն, որ ԱՄՆ իրավապահ մարմիններն արդեն սկսել են հետաքրքվել նրանով, Բլատերին պաշտոնապես մեղադրանք ներկայացվելու հիմք կարող է ծառայել:Оրեր առաջ վերընտրված ՖԻՖԱ-ի նախագահ Ժոզեֆ Բլատերը հեռանում է ՖԻՖԱ-ի նախագահի պաշտոնից: Բլատերը հրաժարականի դիմում կներկայացնի ՖԻՖԱ-ի արտահերթ հրավիրված կոնգրեսի ժամանակ:ՖԻՖԱ-ի 65-րդ կոնգրեսի ժամանակ Ֆուտբոլի միջազգային ֆեդերացիայի նախագահ վերընտրվեց Ժոզեֆ Բլատերը: Վերջինս արդեն 5-րդ անգամ է ընտրվում այդ պաշտոնում: ՖԻՖԱ-ում լինելով դեռևս 1975 թվականից՝ Բլատերն առաջին անգամ ՖԻՖԱ-ի նախագահ դարձավ 1998 թվականին:Այս անգամ նախագահի պաշտոնի համար պայքարում էին երկու թեկնածու` գործող նախագահ Ժոզեֆ Բլատերը և Հորդանանի արքայազն Ալ Հուսեյնը: Ընտրություների ընթացքում առաջին փուլի ժամանակ Բլատերը հավաքեց 133 ձայն, իսկ Հուսեյնը` 73. առկա էր երկրորդ փուլի հնարավորություն, սակայն Հուսեյնը հրաժարվեց հետագա պայքարից:Վերջին մի քանի ամիսների ընթացքում միջազգային ԶԼՄ-ները, հատկապես ամերիկյան մամուլը, մեծ աղմուկ բարձրացրեցին` ՖԻՖԱ-ի նախագահին մեղադրելով և՚ ձայներ գնելու, և՚ կաշառակերության մեջ: Լրատվականները պնդում են՝ Բլատերը և ՖԻՖԱ-ի մի քանի անդամներ կաշառված են և վաճառել են 2018 և 2022 թվականների աշխարհի առաջնությունները Ռուսաստանում և Կատարում անցկացնելու իրավունքները:Անցած մի քանի օրերին շվեյցարական ոստիկանությունը նույնիսկ ձերբակալել էր ՖԻՖԱ-ի մի քանի աշխատակիցների:",Sport,https://armenpress.am/hy/article/807849
Գոռավանի համայնքապետի ընտրություններում ընտրակաշառք տալու և ստանալու դեպքի առիվ քրգործ է հարուցվել,"ՀՀ Արարատի մարզի դատախազությունում քրեական գործ է հարուցվել հունիսի 11-ին մարզի Գոռավան համայնքի ղեկավարի ընտրություններում առերևույթ ընտրակաշառք տալու և ստանալու դեպքի կապակցությամբ: Ինչպես «Արմենպրես»-ին տեղեկացրին ՀՀ դատախազության հանրային կապերի բաժնից, 2018թ. հունիսի 11-ին Վեդի քաղաքի մի բնակիչ ՀՀ ոստիկանության Արարատի մարզային վարչության Արարատի բաժին հաղորդում, այնուհետև բացատրություն է տվել այն մասին, որ Արարատի մարզի Գոռավան գյուղի բնակիչներից մեկը շուրջ 20 օր առաջ գյուղապետարանի շենքում, համայնքապետից, որպես օգնություն, սիրտը վիրահատելու պատճառաբանությամբ ստացել է 100.000 ՀՀ դրամ կաշառ՝ խոստանալով գյուղի համայնքապետի ընտրություններում ընտրել նրան: Չնայած այդ մասին նախապես փաստեր չի ունեցել, սակայն այդ բնակչի հետ զրույցի ընթացքում վերջինս հաստատել է կատարվածը՝ հայտնելով, որ այդ պատճառով ընտրություններում ընտրել է համայնքապետի տվյալ թեկնածուին:Նկատի ունենալով, որ նյութերում առկա են ընտրողի կողմից թեկնածուից, նրա օգտին կողմ քվեարկելու համար անձամբ կաշառք ստանալու, ինչպես նաև թեկնածուի կողմից իր օգտին կողմ քվեարկելու համար ընտրողին անձամբ կաշառք տալու հանցագործության հատկանիշներ՝ նախապտարստված նյութերով ՀՀ Արարատի մարզի դատախազությունում հարուցվել է քրեական գործ ՀՀ քրեական օրենսգրքի 154.2-րդ հոդվածի 1-ին և 2-րդ մասերով:ՀՀ գլխավոր դատախազությունից քրեական գործն ուղարկվել է ՀՀ հատուկ քննչական ծառայություն՝ նախաքննություն իրականացնելու համար: Ծանուցում. ենթադրյալ հանցանքի մեջ կասկածվողը կամ մեղադրվողը համարվում է անմեղ, քանի դեռ նրա մեղավորությունն ապացուցված չէ ՀՀ քրեական դատավարության օրենսգրքով սահմանված կարգով` դատարանի` օրինական ուժի մեջ մտած դատավճռով:",Society,https://armenpress.am/hy/article/937259
Բեռլուսկոնին երկյուղում Է իր կյանքի համար,"Իտալիայի վարչապետ Սիլվիո Բեռլուսկոնին երկյուղում Է իր կյանքի համար եւ գտնում Է, որ ինչ-որ մեկը շահագրգռված Է իրեն ֆիզիկապես վերացնելու հարցում: Այդ մասին այսօր հաղորդել Է Միլանի «Կորիերե դելլա սերա» թերթը, վկայակոչելով այն սենատորներին, ովքեր նախօրյակին մասնակցել են կառավարության ղեկավարի հետ համատեղ ընթրիքին նրա՝ Հռոմի Պալացո Գրացիոլի նստավայրում: «Տակավին 1994 թվականին ինձ հետ ուզում Էին հաշվեհարդար տեսնել հետաքննչական գործողությունների միջոցով: Այնուհետեւ փորձեցին քանդել իմ ընտանիքի ընկերությունները, բայց դա Էլ չկարողացան անել: Իսկ այժմ փորձում են ինձ ֆիզիկապես վերացնել»,-Բեռլուսկոնիի խոսքը մեջբերել Է թերթի ինտերնետ-կայքը: Չնայած այս տագնապալի հայտարարությանը, ըստ հրատարակության տեղեկատվության, իր «Ազատության ժողովուրդ» կուսակցությունից սենատորների հետ ընթրիքի ժամանակ Սիլվիո Բեռլուսկոնին հիանալի տրամադրության մեջ Էր, շարունակ կատակում Էր եւ նույնիսկ ֆրանսերեն ու անգլերեն երգեր Էր կատարում իր սիրելի երաժիշտ ու համահեղինակ Մարիանո Ապիչելայի նվագակցությամբ:",International,https://armenpress.am/hy/article/590793
Մեծ Բրիտանիայի Եղիսաբեթ II թագուհին Հայաստանի անկախության տոնի կապակցությամբ շնորհավորական ուղերձ է հղել ՀՀ նախագահին,"Մեծ Բրիտանիայի Եղիսաբեթ II թագուհին շնորհավորական ուղերձ է հղել ՀՀ նախագահ Սերժ Սարգսյանին` Հայաստանի անկախության տոնի կապակցությամբ: Ինչպես «Արմենպրեսե-ին հայտնեցին Հայաստանում Միացյալ Թագավորության դեսպանատնից, ուղերձում ասված է. «Ինձ համար գերագույն հաճույք է Ձեր ազգային տոնի կապակցությամբ Ձերդ Գերազանցությանը հղել իմ շնորհավորանքները, ինչպես նաեւ Հայաստանի Հանրապետության ժողովրդի եւ կառավարության բարգավաճման ու երջանկության իմ մաղթանքներըե:",Society,https://armenpress.am/hy/article/460433
Մեկ օրում գրանցված մարմնական վնասվածք հասցնելու բոլոր 8 դեպքերը բացահայտվել են,"Ըստ ՀՀ ոստիկանության օպերատիվ հաղորդագրությունների ամփոփագրերի` դեկտեմբերի 25-ից 26-ը հանրապետությունում արձանագրված մարմնական վնասվածք հասցնելու 8 դեպքերն էլ բացահայտվել են։ Ինչպես «Արմենպրես»-ը տեղեկացավ ՀՀ ոստիկանության պաշտոնական կայքից, արձանագրվել է թմրամիջոցի հայտնաբերման 2 դեպք։ Բացահայտվել է գողության 9, խարդախության 4, անձի առևանգման, ավազակային հարձակման, շորթման և ապօրինի ծառահատման 1-ական դեպք: Անցած 1 օրվա ընթացքում հանրապետությունում արձանագրվել է ճանապարհատրանսպորտային 7 պատահար, ինչի հետևանքով 9 մարդ ստացել է տարբեր աստիճանի մարմնական վնասվածքներ:",Society,https://armenpress.am/hy/article/917631
«Եվրո 2016»-ում ավարտվեց խմբային փուլը,"«Եվրո 2016»-ում ավարտվեց խմբային փուլը: 1/8 եզրափակիչ փուլ դուրս եկած բոլոր թիմերն արդեն ունեն իրենց մրցակիցներին: «Արմենպրես»-ը հայտնում է մրցաշարի բոլոր զույգերի անունները: 1/8 եզրափակիչում կենտրոնական մրցավեճ կլինի Իսպանիայի և Իտալիայի հավաքականների հանդիպումը: Միայն վերջին պահին ուղեգիր նվաճած Պորտուգալիայի ընտրանին կխաղա հիանալի մրցաշար անցկացնող Խորվաթիայի ընտրանու հետ: Հետաքրքիր պայքար է խոստանում նաև Շվեյցարիայ-Լեհաստան խաղը: Մրցաշարի անակնկալներից մեկը` Իսլանդիան կմրցի Անգլիայի ընտրանու հետ: Մյուս զույգերը հետևյալներն են` Ուելս-Հոյւսիսային Իռլանդիա, Հունգարիա –Բելգիա, Գերմանիա-Սլովակիա և Ֆրանսիա-Իռլանդիա:1/8 եզրափակիչի առաջին հանդիպումները տեղի կունենան հունիսի 25-ին: Պայքարն առաջինը կսկսի Շվեյցարիա-Լեհաստան զույգը:",Sport,https://armenpress.am/hy/article/851900
Երևանում 40 կմ ոռոգման համակարգ կանցկացվի. Քաղաքապետարան,"Երևանում 2023 թվականին 40 կմ ոռոգման նոր ցանց կանցկացվի: Շուրջ 24 կմ-ն արդեն պատրաստ է։«Արմենպրես»-ի փոխանցմամբ՝ այս մասին հայտնում են Երևանի քաղաքապետարանից:«25 կմ-ն անցկացվում է «Կանաչապատում և շրջակա միջավայրի պահպանություն» ՀՈԱԿ-ի կողմից, 16.3 կմ-ը՝ Երևանի քաղաքապետարանի շինարարության և բարեկարգման վարչության ուժերով: Նախատեսված է նաև նոր ջրագծերի անցկացում դեպի Աջափնյակ և Դավթաշեն»,-նշել է «Կանաչապատում և շրջակա միջավայրի պահպանություն» ՀՈԱԿ-ի տնօրեն Արմեն Բեգոյանը:Գործող ջրագծերի մեծ մասը վթարված է, ջուրը հասցեներ չի հասնում: Ոռոգման նոր համակարգեր են անցկացվում զբոսայգիներում, փողոցների ու ճանապարհների հարակից հատվածներում: Բակերի բարեկարգմանը զուգահեռ՝ ոռոգման ջուրը դրանց կհասնի խողովակներով:«Բակային տարածքների մոտ 90 տոկոսում ոռոգման համակարգ առհասարակ գոյություն չունի»,-ասել է Բեգոյանը:Մետաղական հնամաշ ու վթարված խողովակները փոխարինվում են, տեղադրվում է նոր՝ անձրևացնող համակարգ: Սա խոտածածկ ստեղծելու լավագույն տարբերակն է: Որոշ հատվածներում կլինի նաև կաթիլային ոռոգում:«70 տարվա խողովակներ էին, մշտապես վթարվում էին»,- նշել են ՀՈԱԿ-ի աշխատակիցները:«Տեղադրվում են նոր պոլիէթիլենային խողովակներ, իսկ այն հատվածներում, որտեղ հատում են փողոցները, դրանք երկաթյա խողովակների միջով ենք անցկացնում, որը երկարեցնում է պոլիէթիլենայինների շահագործման ժամկետը:Միաժամանակ, վերանորոգվում ու կառուցվում են պոմպակայաններ՝ անխափան ջրամատակարարում ապահովելու նպատակով:Ոռոգման նոր համակարգերը հնարավորություն կտան վերականգնելու նախկին կանաչապատ տարածքները, նաև այդպիսի նոր գոտիներ հիմնելու հնարավորություն են: Քաղաքի կանաչ զանգվածն այս տարի կավելանա շուրջ 20 հա-ով, ինչը կարևոր է նաև քաղաքի բնապահպանական խնդիրները լուծելու տեսակետից:«Ոռոգման համակարգը կանաչապատման առաջնային պայմանն է: Մենք հենց հիմա էլ կարող ենք հազարավոր ծառեր տնկել Երևանում, բայց մեզ մոտ այլևս ոչ մի թուփ չի տնկվում, քանի դեռ լուծված չէ ոռոգման խնդիրը»,-շեշտել է Արմեն Բեգոյանը:2024 թվականին «Կանաչապատում և շրջակա միջավայրի պահպանություն» ՀՈԱԿ-ը մտադիր է ոռոգման համակարգերն ընդլայնել ավելի մեծ ծավալով:",Society,https://armenpress.am/hy/article/1115439
