title,text,category,source
Պրոբիոտիկը որպես դեղամիջոց. բակտերիաները Պարկինսոնի հիվանդության դեպքում դեղամիջոց են սինթեզում անմիջապես աղիներում,"Ջորջիայի համալսարանի գիտնականները ներկայացրել են Պարկինսոնի հիվանդության բուժման համար նախատեսված նոր «կենդանի» միկրոբիոմային դեղամիջոց. աղիների միջոցով ներմուծվող հատուկ գենետիկորեն մոդիֆիկացված պրոբիոտիկ բակտերիաներ, որոնք մշտապես սինթեզում են լևոդոպա՝ հիվանդության բուժման համար օգտագործվող հիմնական դեղամիջոցը: Այդ մշակումը հրապարակվել է Cell Host & Microbe բժշկագիտական  հանդեսում:Պրոֆեսոր Անումանտա Կանացամիի գլխավորած թիմը օգտագործել է Escherichia coli Nissle 1917 շտամը, որը վաղուց հայտնի է որպես անվտանգ պրոբիոտիկ (probiotic- օրգանիզմի համար թերապևտիկ նպատակներով բավարար քանակությամբ ընդունվող սննդամթերք, օգտակար կենդանի միկրոկուլտուրաներ և կենսաբանորեն ակտիվ հավելումներ պարունակող միկրոօրգանիզմներ -խմբ.), և այն այնպես է վերածրագրավորել, որ բակտերիաները լևոդոպա արտադրեն անմիջապես աղիներում: Դա հնարավորություն է տալիս դեղամիջոցի անընդհատ մատակարարումը ուղեղին՝ խուսափելով դեղահաբերին բնորոշ կոնցենտրացիայի հանկարծակի կտրուկ տատանումներից:Լևոդոպայի  դասական ընդունման դեպքում բուժառուները կարող են զգալ արդյունավետության «ալիքներ». բարձր չափաքանակից հետո ուղեղում դոֆամինի մակարդակը կտրուկ բարձրանում է, ապա ընկնում՝ անկանխատեսելի շարժիչ ախտանիշներ և, ժամանակի ընթացքում, դիսկինեզիաներ՝ անվերահսկելի շարժումներ առաջացնելով: Նոր ռազմավարության շնորհիվ այդ տատանումները նվազում են. աղիքներն իրենք են սինթեզում դեղը, և լևոդոպան կայուն կերպով մատակարարվում է։Հետազոտողները նշում են, որ իրենց «կենդանի դեղամիջոցները» նոր դարաշրջան են բացում. դրանք սոսկ հերթական դեղագործական դեղամիջոց չեն, այլ կենդանի մանրէներ, որոնք ծառայում են որպես մինի-գործարաններ։ Նրանք հույս ունեն, որ դրանց մշակումը կարող է օգտակար լինել ոչ միայն Պարկինսոնի հիվանդության, այլև նեյրոհաղորդիչների անբավարարությանն առնչվող այլ խրոնիկական նեյրոդեգեներատիվ հիվանդությունների, մասնավորապես դեմենցիաի դեպքում։Հետևեք NEWS.am Medicine-ին Facebook-ում և Twitter-ում",Medical,https://med.news.am/arm/news/40000/
Armenian International HealthCare Expo 2025-ը տեղի կունենա նոյեմբերի 27-30-ը,"2025թ․ նոյեմբերի 27-30-ը Երևանում, Meridian Expo կենտրոնում կանցկացվի Armenian International HealthCare Expo 2025-ը՝ մի հարթակ, որն իր մասշտաբով, մասնակիցների կազմով և միջազգային ներկայությամբ դառնալու է տարածաշրջանի ամենամեծ առողջապահական իրադարձությունը։Այս տարվա Expo-ն խոստանում է գերազանցել բոլոր նախորդ ցուցանիշները՝4 լիարժեք օր՝ հագեցած ամենատարբեր միջոցառումներով ու ակտիվություններովArmenian International Healthcare Expo 2025-ում իրենց ասելիքն ու անելիքը կունենան ոչ միայն առողջապահական կառույցներն ու ծառայությունները, այլև ապահովագրական, ֆինանսաբանկային, լիզինգային, սննդի արտադրության և մատակարարման ընկերությունները, տուրիստական ծառայությունները, IT ընկերությունները, սպորտային ակումբներն ու մարզասրահները, առողջ ապրելակերպի նախաձեռնությունները, ստարտափները։Էքսպոյի շրջանակում տեղի կունենա նաև «Yerevan Pain Days» միջազգային առողջապահական արշավը, որը Հայաստան կբերի պատվիրակներ և խոսնակներ ավելի քան 52 երկրից։ Սպասվում է քառօրյա առողջապահական համագումար, գիտաժողովային և թեմատիկ դասընթացներ, աշխատաժողովներ, սեմինարներ, B2B հանդիպումներ, կրթական և փորձի փոխանակման տարբեր ձևաչափեր։Այս ամենից բացի սպասվում են նաև տարբեր ժամանցային ծրագրեր, խաղարկություններ, համերգ, առողջ ապրելակերպին նվիրված մրցաշարեր և այլ ակտիվություններ՝ EXPO-ն դարձնելով ոչ միայն մասնագիտական, այլև հանրային տոն։ Հետևեք NEWS.am Medicine-ին Facebook-ում և Twitter-ում",Medical,https://med.news.am/arm/news/40001/
Բուժում առանց դեղերի. MILANA SPA-ի բացառիկ կոնֆերանսը`օստեապաթիայի թեմայով,"Բացառիկ կոնֆերանս է Երևանում: Արտերկրից հրավիրված փորձառու մասնագետը՝  վիրահատական և ձեռքի թերապիայի մասնագետ, օստեոպաթիայի դասախոս, գիտական ու պրակտիկ մոտեցումներով հայտնի հայազգի Տիգրան Մակիչյանը տեսական ու պրակտիկ տարբերակով ներկայացնում է, թե ինչ հրաշքներ կարող է գործել օստեպաթիան: Մասնագետը նշում է՝ սա պարզապես բուժման մեթոդ չէ, այլ մարդու առողջության նկատմամբ ամբողջական մոտեցում։ Բուժում է ամբողջ մարմինը:«Մեջքի ցավեր, գլխացավեր, տագնապ, անհանգստություն, անքնություն, երեխաների մոտ սկոլիոզ, հարթաթաթություն, կեցվածքի խանգարումներ ու բազմաթիվ այլ հիվանդություններ են բուժում օստեպաթները: Օրինակ, հղիությունը հաճախ ուղեկցվում է տարբեր ցավերով, իսկ դեղ ընդունելն արգելված է: Օստեոպաթը շատ նուրբ տեխնիկայով աշխատում է կոնքի, գոտկատեղի հետ: Հղիությունն ավելի հեշտ է ընթանում, իսկ ծննդաբերությունը՝ ավելի թեթև։ Ինչպես ասում էր իմ պրոֆեսորը՝ օստեոպաթի նպատակը մարդուն ամբողջ կյանքի ընթացքում ուղեկցելն է: Նա աշխատում է երեխաների հետ դեռ նորածնային շրջանում՝ 31 օրականից սկսած մինչև խոր ծերություն: Շատ կարևոր են վաղ և պարբերական այցերը: Եթե օստեոպաթը խնդիրները նկատում է սկզբնական փուլում և սկսում է աշխատել, հետագայում հնարավոր է խուսափել խնդիրներիվ։ Դա վերաբերում է դպրոցական սկոլիոզներին, կուզությանը, որոնք այսօր շատ տարածված են։ Երբեք ուշ չէ սկսել բուժումը։ Ես ունեմ 80 տարեկան առաջին այցով եկող հիվանդներ, և նույնիսկ այն դեպքում, երբ 20 տարի շարունակ մեջքն է ցավել, միևնույն է, հնարավոր է հասնել ախտանիշների նվազման և կյանքի որակի բարելավման», - ասում է Տիգրան Մակիչյանը։Մանրամասները՝ տեսանյութում։Հետևեք NEWS.am Medicine-ին Facebook-ում և Twitter-ում",Medical,https://med.news.am/arm/news/40002/
Պապիլոմավիրուսային հիվանդության դեմ պատվաստումը 80%-ով նվազեցնում է արգանդի վզիկի քաղցկեղի առաջացման վտանգը. Cochrane Library,"Գիտնականների միջազգային թիմը ներկայացրել է մինչ օրս ամենահամոզիչ ապացույցները, որ մարդու պապիլոմավիրուսի դեմ պատվաստումն արդյունավետորեն կանխում է արգանդի վզիկի քաղցկեղը և նախաքաղցկեղային ախտահարումները, հատկապես, եթե այն կիրառվում է վիրուսի հետ առաջին շփումից առաջ: Հետազոտությունը հրապարակվել է Cochrane Library հանդեսում:Հեղինակները նշել են, որ 16 տարեկանից առաջ պատվաստված աղջիկների շրջանում արգանդի վզիկի քաղցկեղի առաջացման վտանգը նվազում է 80%-ով: Ավելին, պատվաստանյութերն անվտանգության բարձր մակարդակ են ցուցաբերում. ամենատարածված կողմնակի ազդեցությունները կարճատև ցավն ու կարմրությունն են ներարկման տեղում:Հետազոտողների առաջին վերլուծությունը ներառել է 60 պատահականացված փորձարկումներ, որոնց մասնակցել է ավելի քան 157 հազար մասնակից: Այն հաստատել է, որ բոլոր առկա՝ Cervarix, Gardasil և Gardasil-9 պատվաստանյութերը, հուսալիորեն պաշտպանում են մարդու պապիլոմավիրուսի բարձր ուռուցքածին տեսակներով վարակներից, որոնք առաջացնում են արգանդի վզիկի, հեշտոցի, ամոթույքի, հետանցքի և գլխի ու պարանոցի որոշ քաղցկեղներ:Չնայած քաղցկեղի զարգացումը կարող է տարիներ տևել, հետազոտություններն արդեն ցույց են տվել նախաքաղցկեղային ախտահարումների (CIN2+ և CIN3+) հաճախականության կտրուկ նվազում 15-25 տարեկանների շրջանում, ինչպես նաև՝ HPV-ի հետ կապված հիվանդությունների վիրաբուժական բուժման անհրաժեշտության նվազում: Լուրջ կողմնակի ազդեցությունները հազվադեպ էին և տեղի էին ունենում մոտավորապես նույն հաճախականությամբ պատվաստված և չպատվաստված խմբերում։Երկրորդ վերլուծությունը ներառել է տարբեր երկրների 225 հետազոտություն և ընդգրկել ավելի քան 132 միլիոն մարդու: Դրա արդյունքները ցույց են տվել, որ պատվաստումը զգալիորեն նվազեցնում է ինչպես նախաքաղցկեղային ախտահարումների, այնպես էլ արգանդի վզիկի քաղցկեղի հաճախականությունը։Ամենաակնհայտ կանխարգելիչ ազդեցությունը նկատվել է նրանց շրջանում, ովքեր առաջին չափաքանակը ստացել են մինչև 16 տարեկանը: Այդ խմբերում քաղցկեղի ռիսկը նվազել է 80%-ով:Հետևեք NEWS.am Medicine-ին Facebook-ում և Twitter-ում",Medical,https://med.news.am/arm/news/40003/
"Ձմերուկի մեջ պարունակվող L-ցիտրուլինը նվազեցնում է անոթային հիվանդությունների առաջացման ռիսկը. Nutrients

","L-ցիտրուլինը, որը ձմերուկի բնական ամինաթթվային բաղադրիչ է, կարող է մեծացնել ազոտի օքսիդի արտադրությունը։ Այս մոլեկուլը կարևոր դեր է խաղում անոթային տոնուսի կարգավորման և սրտանոթային հիվանդությունների ռիսկի նվազեցման գործում։ Այս եզրակացությանն են հանգել Ռիո դե Ժանեյրոյի դաշնային համալսարանի հետազոտողները։ Ուսումնասիրության արդյունքները հրապարակվել են Nutrients ամսագրում։Գիտնականները բացատրում են, որ L-ցիտրուլինը հանդիպում է ձմերուկի միջուկում, սակայն այս նյութի խտությունն ավելի բարձր է կեղևում։ Կլանման դեպքում L-ցիտրուլինը բարձրացնում է արյան մեջ L-արգինինի մակարդակը. ամինաթթու, որից սինթեզվում է ազոտի օքսիդը: Այս գազային մեդիատորը լայնացնում է արյան անոթները, բարելավում արյան հոսքը և օգնում արյան ճնշման իջեցմանը։«Ձմերուկային» L-ցիտրուլինի կարևոր առանձնահատկությունն այն է, որ, ի տարբերություն L-արգինինի, միանգամից օգտագործվելիս չի քայքայվում լյարդում։Այնուամենայնիվ, հետազոտողներն ընդգծում են, որ թարմ ձմերուկի գործնական կիրառումը որպես L-ցիտրուլինի աղբյուր սահմանափակ է: Պտղի մեջ այս նյութի խտությունը ցածր է. նվազագույն արդյունավետ չափաքանակին հասնելու համար սննդակարգում հատապտղի միջուկի կամ կեղևի զգալի քանակություն է անհրաժեշտ: Այս պատճառով գիտնականները խոստումնալից զարգացումներ են տեսնում ձմերուկի խտանյութի տեխնոլոգիայի և մշակման այլ ձևերի մեջ, որոնք թույլ են տալիս L-ցիտրուլինի բարձր չափաքանակներ ստանալ առանց պտղի չափազանց մեծ սպառման։Ուսումնասիրության հեղինակները նշում են երկարատև կլինիկական հետազոտությունների անհրաժեշտությունը, մասնավորապես սրտանոթային հիվանդությունների բարձր ռիսկի ենթարկված անհատների մոտ: Նման հետազոտությունները կօգնեն որոշելու օպտիմալ դեղաչափերը և հաստատելու, թե ինչպես է ձմերուկի L-ցիտրուլինն ընդունակ ազդելու զարկերակային ճնշման, անոթների առաձգականության և էնդոթելի վիճակի վրա:Հետևեք NEWS.am Medicine-ին Facebook-ում և Twitter-ում",Medical,https://med.news.am/arm/news/40004/
JAMA. Սննդակարգում ածխաջրերի ցածր պարունակությունը մեղմացնում է շիզոֆրենիայի ախտանիշները,"Կետո դիետան օգնում է մեղմացնել դեպրեսիայի և շիզոֆրենիայի ախտանիշները, սակայն ոչ՝ տագնապային խանգարման։ Այս եզրահանգմանն են եկել Տորոնտոյի Սուրբ Միքայելի հիվանդանոցի հետազոտողները։ Աշխատանքի արդյունքները հրապարակվել են JAMA Psychiatry ամսագրում։Հեղինակները վերլուծել են 50 հետազոտության տվյալներ, որոնց մասնակցել է ավելի քան 41 հազար մեծահասակ 15 երկրից։ Ընտրանքում ներառվել են ինչպես հոգեկան խանգարումներ՝ շիզոֆրենիա, դեպրեսիվ մեծ խանգարում, երկբևեռ խանգարում, ընդհանրացված տագնապային խանգարում և հետտրավմատիկ սթրեսային խանգարում ունեցող մարդիկ, այնպես էլ հոգեբուժական ախտորոշումներ չունեցող մասնակիցներ, այդ թվում՝ ճարպակալմամբ հիվանդներ։ Վիճակը գնահատվել է վավերացված կլինիկական սանդղակներով։Կետոգեն դիետան՝ ճարպերի բարձր պարունակությամբ, սպիտակուցների չափավոր քանակով և ածխաջրերի նվազագույն մակարդակով սննդակարգը, վաղուց կիրառվում է որպես ռեֆրակտեր էպիլեպսիայի բուժում։ Նման սննդակարգի դեպքում ուղեղը գլյուկոզայի օգտագործումից անցնում է կետոնային մարմինների, ինչն ազդում է միտոքոնդրիումների աշխատանքի, բորբոքման մակարդակի, օքսիդատիվ սթրեսի և ուղեղում նյարդամիջնորդանյութերի հաղորդման վրա։Նոր աշխատանքի արդյունքները ցույց են տվել, որ կետո դիետայի հետևող մասնակիցների մոտ դեպրեսիայի ախտանիշները չափավոր նվազել են։ Սակայն տագնապային խանգարման դեպքում նման օրինաչափություն չի հայտնաբերվել։ Ենթախմբերի լրացուցիչ վերլուծությունը ևս չի բացահայտել գործոններ, որոնք կայուն կերպով կուժեղացնեին կետո դիետայի ազդեցությունը տագնապայնության ախտանիշների վրա։Կետո դիետան կամ սննդակարգի նմանատիպ ռեժիմները նպաստել են նաև շիզոֆրենիա կամ երկբևեռ սպեկտրի խանգարումներ ունեցող մարդկանց մոտ փսիխոտիկ ախտանիշների նվազմանն ու տրամադրության կայունացմանը։Հեղինակներն ընդգծում են, որ կետո սննդակարգը կարող է դիտարկվել որպես հոգեկան խանգարումների բուժման լրացուցիչ գործիք, հատկապես եթե հաջողվում է պահպանել կենսաքիմիական կետոզը։ Այնուամենայնիվ, նման դրական ազդեցության մեխանիզմները երկարաժամկետ կլինիկական հետազոտություններում հաստատման կարիք ունեն։Հետևեք NEWS.am Medicine-ին Facebook-ում և Twitter-ում",Medical,https://med.news.am/arm/news/40005/
«Ապագայի արժեզրկման» հետ կապված գենետիկական վարիացիաներն ազդում են 58 հոգեկան և վարքային հատկանիշների վրա,"Սան Դիեգոյի Կալիֆոռնիայի համալսարանի գիտնականները հայտնաբերել են ԴՆԹ-ի տասնմեկ հատված, որոնք կապված են, այսպես կոչված, «հետաձգված պարգևատրման արժեզրկման»՝ ավելի խոշոր, բայց սպասել պահանջող օգուտների փոխարեն փոքր, սակայն անհապաղ օգուտներն ընտրելու հակման հետ:Այս հոգեբանական մեխանիզմը վաղուց կապում են իմպուլսիվության, կախվածությունների և ինքնավերահսկման խանգարումների հետ, և նոր հետազոտությունը ցույց է տալիս, թե որքան խորն է այն արմատավորված մարդու կենսաբանության մեջ:Molecular Psychiatry ամսագրում հրապարակված աշխատանքը հիմնված է գրեթե հարյուր երեսունհինգ հազար մասնակցի գենոմների վերլուծության վրա:Գիտնականները բացահայտել են 93 թեկնածու գեն, որոնք ներգրավված են դոֆամինի փոխանցման, նեյրոնների զարգացման, ուղեղի կառուցվածքի ձևավորման և նյութափոխանակության գործընթացներում, այսինքն՝ այնպիսի համակարգերում, որոնք միաժամանակ կապված են և՛ հոգեկան խանգարումների, և՛ քրոնիկ ցավի, և՛ ֆիզիոլոգիական հիվանդությունների հետ:Արդյունքում՝ հետաձգված պարգևատրման արժեզրկման գենետիկական պրոֆիլը հատվել է ճարպակալման, դիաբետի, քնի խանգարումների, դեպրեսիայի, հոգեակտիվ նյութերի օգտագործման և տասնյակ այլ վիճակների ռիսկերի հետ: Ընդհանուր առմամբ՝ հետազոտողները գենետիկական կապ են գտել յոթանասուներեք տարբեր հատկանիշի հետ, որոնք վերաբերում են ինչպես հոգեկան, այնպես էլ ֆիզիկական առողջությանը:Հասկանալու համար, թե դա ինչպես է դրսևորվում իրականում, թիմը ստեղծել է պոլիգենային ռիսկի միավորներ և դրանք ստուգել ավելի քան վաթսունվեց հազար հիվանդի կլինիկական տվյալների բազայում: Պարզվել է, որ այդ գենետիկական ցուցանիշները կապված են ավելի քան երկու հարյուր բժշկական ելքի հետ՝ սրտանոթային հիվանդություններից և քրոնիկ ցավից մինչև տրամադրության խանգարումներ և ծխախոտային կախվածություն:Հեղինակներն ընդգծում են, որ իմպուլսիվ որոշումների գենետիկական հիմքի ըմբռնումը ճանապարհ է բացում բժշկության մեջ նոր մոտեցումների համար: Հետաձգված պարգևատրման արժեզրկումը կարող է դառնալ կլինիկորեն օգտակար մարկեր, որը թույլ կտա ավելի ճշգրիտ ընտրել վարքային և դեղորայքային միջամտությունները, հատկապես այն մարդկանց համար, որոնց իմպուլսիվությունն ազդում է նրանց առողջության և կենսակերպի վրա:Հետևեք NEWS.am Medicine-ին Facebook-ում և Twitter-ում",Medical,https://med.news.am/arm/news/40006/
Գիտնականներն աչքի շաքարախտային փոփոխությունների վաղ հայտնաբերման համար ստեղծել են առաջին արհեստական ​​բանականության հարթակը,"Գիտնականները ստեղծել են առաջին հարթակը, որը հնարավորություն է տալիս կլինիկական պայմաններին հնարավորինս մոտ պայմաններում ինչպես հարկն է ստուգել բժշկական արհեստական ​​բանականության ալգորիթմները։Այդ հարթակի օգնությամբ կարելի է հասկանալ՝ որքան ճշգրիտ, հուսալի և արդար են այդ համակարգերը տարբեր բուժառուների խմբերի համար։ Որպես առաջին օրինակ՝ հետազոտողները շաքարախտի ամենատարածված բարդություններից մեկի՝ շաքարախտային աչքի հիվանդության հայտնաբերման համար նախատեսված ութ ալգորիթմ են փորձարկել։Սովորաբար, երբ հիվանդանոցներն նոր արհեստական ​​բանականության գործիք են ընտրում, նրանք նախ հաշվի են առնում գինը և համեմատում դրա արդյունավետությունը բժիշկների աշխատանքի արդյունավետության հետ։ Սակայն կան կարևոր հարցեր, որոնք հաճախ անտեսվում են. արդյո՞ք ալգորիթմը իսկապես լավ է աշխատում տարբեր տարիքային և էթնիկ խմբերի համար, արդյո՞ք այն զերծ է թաքնված կանխակալությունից և արդյո՞ք այն ունակ է բոլոր բուժառուների համար հավասարապես ճշգրիտ արդյունքներ տրամադրել։ Նոր նախագիծը հենց այդ խնդրին է անդրադառնում։Աշխատանքը հրապարակվել է The Lancet Digital Health բժշկագիտական հանդեսում։ Փորձարկման համար գիտնականներն օգտագործել են Լոնդոնում հետազոտված բուժառուների մոտ 1,2 միլիոն աչքի սկանավորումների հսկայական տվյալների բազան։Դա տարիքի, առողջության և ծագման առումով ամենաբազմաբնույթ խմբերից մեկն է, ուստի արդյունքները հատկապես հուսալի էին։Ալգորիթմները բարձր ճշգրտություն են ցույց տվել։ Կախված վերլուծության տեսակից՝ դրանց ցուցանիշները տատանվում էին մոտավորապես 83 տոկոսից մինչև գրեթե 99 տոկոս։ Դա նշանակում է, որ ծրագրերը իսկապես հուսալիորեն ճանաչում են ինչպես հիվանդության վաղ նշանները, այնպես էլ ավելի լուրջ փոփոխությունները, որոնք կարող են հանգեցնել տեսողության կորստի։ Կարևոր է, որ ալգորիթմները հավասարապես լավ են աշխատել տարբեր մաշկի գույնի և ծագման մարդկանց դեպքում. առաջին անգամն է, որ դա հաստատվում է այդքան մեծ տվյալների հավաքածուի միջոցով։Գիտնականների կարծիքով՝ ապագայում նման հարթակը կարող է հիմք ծառայել միասնական ազգային համակարգի համար. կլինիկաները կբեռնեն սկանավորումները, ավտոմատացված արդյունքներ կստանան, իսկ բժիշկները ավելի արագ որոշումներ կընդունեն։ Դա կօգնի և՛ բուժառուներին, և՛ բժիշկներին և՛ արհեստական ​​բանականության մշակողներին՝ տեխնոլոգիաների արդարացի գնահատում և ավելի սրընթաց ախտորոշում ապահովելով։Հետևեք NEWS.am Medicine-ին Facebook-ում և Twitter-ում",Medical,https://med.news.am/arm/news/40007/
Կետոգեն սննդակարգը նվազեցնում է չափահասների դեպրեսիայի ախտանիշները. Nutrients,"Տորոնտոյի St. Michael’s հիվանդանոցի հետազոտողները պարզել են, որ բարձր ճարպային, չափավոր սպիտակուցային և նվազագույն ածխաջրային պարունակությամբ կետոգեն սննդակարգը կարող է օգնել նվազեցնելու չափահասների դեպրեսիայի ախտանիշները։ Միաժամանակ, սննդակարգի ազդեցությունը տագնապային խանգարումների վրա դեռևս այնքան էլ պարզ չէ։ Հետազոտության արդյունքները հրապարակվել են Nutrients բժշկագիտական հանդեսում։Կետոգեն սննդակարգն օրգանիզմը տեղափոխում է այլընտրանքային էներգիայի աղբյուրի. ուղեղը գլյուկոզի փոխարեն սկսում է կետոնային մարմիններ օգտագործել, ինչը կարող է ազդել միտոքոնդրիալ ֆունկցիայի (բջջային էներգիայի «էլեկտրակայաններ». սպիտակուցներով հարուստ,  լիպիդներ և ոչ մեծ քանակությամբ ՌՆԹ պարունակող  բջջի ընդհանուր նշանակության օրգանոիդներ -խմբ.), օքսիդատիվ սթրեսի և բորբոքային գործընթացների վրա։Գիտնականները համակարգված 50 հետազոտությունների վերանայում և մետա-վերլուծություն են անցկացրել 15 երկրներից, որոնց մասնակցել է ավելի քան 41 հազար կամավոր։ Մասնակիցների թվում էին դեպրեսիվ խանգարումներից, երկբևեռ խանգարումից, տագնապային խանգարումից տառապող մարդիկ, ինչպես նաև առողջ կամավորներ։ Հոգեկան առողջությունը գնահատվել է ստանդարտ սանդղակներով, մասնավորապես՝ PHQ-9-ով և GAD-7-ով։Վերլուծությունը ցույց է տվել, որ կետոգեն սննդակարգին հետևող մասնակիցները դեպրեսիվ ախտանիշների ավելի մեծ նվազում են ունեցել, քան նրանք, ովքեր շարունակել են իրենց սովորական սննդակարգը։ Արդյունքը հատկապես նկատելի էր այն հետազոտություններում, որոնք չափում էին արյան մեջ կետոնների մակարդակը, այսինքն՝ երբ մասնակիցներն իրականում մտնում էին կետոզի փուլ։ Ածխաջրերի խիստ սահմանափակումը (կալորիականությունների մոտ 10%-ը) ավելի լավ արդյունքներ է տվել, քան պակաս սահմանափակող սննդակարգերը։Անհանգստության վերաբերյալ արդյունքները պակաս համոզիչ էին. պատահականացված փորձարկումների ընթացքում անհանգստության ախտանիշների զգալի նվազում չի նկատվել, թեև որոշ ոչ այնքան խիստ հետազոտություններ բարելավումներ են արձանագրել։Հեղինակներն ընդգծում են, որ կետոգեն սննդակարգը դեպրեսիայի համընդհանուր բուժում չէ։ Նրանք կոչ են անում հետագա լայնածավալ, երկարաժամկետ հետազոտություններ անցկացնել՝ հասկանալու համար՝ ով և ինչ պայմաններում կարող է օգտվել նման սննդակարգյից, և ինչպես են փոխկապակցված կետոզը և տրամադրության բարելավումը։Հետևեք NEWS.am Medicine-ին Facebook-ում և Twitter-ում",Medical,https://med.news.am/arm/news/40008/
Հայտնաբերվել է Ալցհայմերի հիվանդության զարգացման վրա ազդող կարևոր սպիտակուցը,"Գիտնականները հայտնաբերել են OTULIN սպիտակուցի նոր կարևոր գործառույթ ուղեղում, որը կապված է նեյրոդեգեներատիվ հիվանդությունների, այդ թվում՝ Ալցհայմերի հիվանդության հետ։ Հետազոտության արդյունքները հրապարակվել են Nature Neuroscience ամսագրում։Դոկտոր Կիրան Բհասկարի (Նյու Մեքսիկոյի համալսարան) և դոկտոր Ֆրանչեսկա-Ֆանգ Լիաոյի (Թենեսիի համալսարան) գլխավորած թիմը ուսումնասիրել է Ալցհայմերի ուշ սպորադիկ ձև ունեցող հիվանդների ցողունային բջիջներից ստացված նեյրոնները։ Գիտնականները պարզել են, որ OTULIN գենի լիակատար անջատման դեպքում տաու սպիտակուցի մակարդակը գրեթե անհետանում էր։ Ընդ որում, դա տեղի էր ունենում ոչ թե սպիտակուցի արագացված քայքայման, այլ տաու կոդավորող մՌՆԹ-ի սինթեզի նվազման պատճառով։Բացի այդ, OTULIN չունեցող բջիջներում խիստ փոխվում էր հազարավոր գեների և տրանսկրիպտների ակտիվությունը, ինչը վկայում է այն մասին, որ OTULIN-ը հանդես է գալիս որպես գենային ակտիվության «գլխավոր կարգավորիչ»։Գիտնականները թեստավորել են նաև UC495 մոլեկուլը՝ OTULIN-ի ինհիբիտորը։ Սպիտակուցի ակտիվության մասնակի ճնշումը նվազեցնում էր ֆոսֆորիլացված տաուի՝ թունավոր կուտակումներ ձևավորելու ունակ վտանգավոր ձևի մակարդակը՝ առանց OTULIN-ի ամբողջական հեռացման, ինչը հեռանկարներ է բացում ապագա թերապիայի համար։Բացահայտումը կարևոր է ոչ միայն Ալցհայմերի հիվանդության, այլև մյուս «տաուպաթիաների»՝ տաու սպիտակուցի կուտակման հետ կապված նեյրոդեգեներատիվ հիվանդությունների ուսումնասիրության համար։ OTULIN-ի պակասուրդի դեպքում փոխվում է ՌՆԹ-ի կայունությանը մասնակցող գեների, ինչպես նաև ուղեղի հիվանդությունների հետ ասոցացվող ՌՆԹ կապող սպիտակուցների ակտիվությունը։Հետազոտողների հաջորդ քայլերն են՝ հասկանալ, թե հատկապես ինչպես է OTULIN-ը կարգավորում այդ գործընթացները, և կենդանիների մոդելների վրա ստուգել՝ հնարավո՞ր է արդյոք անվտանգ կերպով «նրբորեն կարգավորել» սպիտակուցի ակտիվությունը՝ պաթոլոգիկ տաուի նվազեցման համար՝ առանց նեյրոնների այլ կարևոր գործառույթները խաթարելու։Հետևեք NEWS.am Medicine-ին Facebook-ում և Twitter-ում",Medical,https://med.news.am/arm/news/40009/
