title,text,category,source
ՉԼ. ՊՍԺ-ի հայտացուցակը «Լիվերպուլի» դեմ,"Ֆրանսիայի չեմպիոն ՊՍԺ-ի գլխավոր մարզիչ Լուիս Էնրիկեն ներկայացրել է հայտացուցակը Չեմպիոնների լիգայի քառորդ եզրափակիչի առաջին հանդիպման համար։Չեմպիոնների լիգայի գավաթակիրը Փարիզում կընդունի Անգլիայի չեմպիոն «Լիվերպուլին»:ՊՍԺ-ի հայտացուցակից վնասվածքների պատճառով դուրս են մնացել իսպանացի կիսապաշտպան Ֆաբիան Ռուիսը եւ ֆրանսիացի հարձակվող Բրենդլի Բարկոլան:Հանդիպումը կմեկնարկի Երեւանի ժամանակով 23:00-ին:Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165600/
Ալկարասը նշել է աշխարհի լավագույն ֆուտբոլիստին եւ թենիսիստին,"Աշխարհի առաջին ռակետ, իսպանացի Կառլոս Ալկարասը նշել է լավագույններին տարբեր մարզաձեւերում, հաղորդում է  Eurosport–ը։«Աշխարհի լավագույն ֆուտբոլիստն այս պահին Կիլիան Մբապեն է։Լավագույնը բասկետբոլիստը՝ Լեբրոն Ջեյմս կամ Ստեֆեն Կարի։ Բայց ես կընտրեմ իմ ընկեր Ջիմի Բաթլերին։Ֆորմուլա–1–ում ես Ֆերնանդո Ալոնսոյի մեծ երկրպագու եմ, բայց այս պահին լավագույնը Կիմի Անտոնելին է։ Ինձ նաեւ հիացնում է Լյուիս Հեմիլթոնը։Օլիմպիական խաղերի պատմության մեջ լավագույնը Մայքլ Ֆելփսն է։ Պատմության մեջ լավագույն թենիսիստուհին Սերենա Ուիլյամսն է։ Լավագույն թենիսիստը պատմության մեջ Նովակ Ջոկովիչն է»,– ասել է Ալկարասը։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165601/
Անտոնիո Կոնտեն՝ Իտալիայի հավաքականի գլխավոր մարզիչի հիմնական թեկնածու,"Իտալիայի չեմպիոն «Նապոլիի» գլխավոր մարզիչ Անտոնիո Կոնտեն Իտալիայի հավաքականի գլխավոր մարզիչի հիմնական թեկնածուն է, հաղորդում է La Gazzetta dello Sport–ը։ Պաշտոնը թափուր է Ջենարո Գատուզոյի հրաժարականից հետո։Կոնտեի հետ համաձայնության չհասնելու դեպքում՝ այլընտրանքային թեկնածուներն են Ռոբերտո Մանչինին եւ Մասիմիլիանո Ալեգրին։Իտալիայի ֆուտբոլի ֆեդերացիայի նախագահի ընտրությունը տեղի կունենա հունիսի 22–ին, որից հետո կնշանակվի ազգային թիմի գլխավոր մարզիչը։Կոնտեի պայմանագիրը «Նապոլիի» հետ նախատեսված է մինչեւ 2027թ. հունիս։ Նեապոլյան ակումբի նախագահ Աուրելիո Դե Լաուրենտիսն արդեն հայտարարել է, որ չի խոչընդոտի Կոնտեի նշանակմանը ազգային թիմում։Իտալիայի հավաքականը երրորդ անգամ անընդմեջ չի նվաճել աշխարհի առաջնության ուղեգիր։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165602/
Մանուել Նոյերը կրկնեց Լիոնել Մեսիի ցուցանիշը,"Գերմանիայի չեմպիոն Մյունխենի «Բավարիայի» 40-ամյա դարպասապահ Մանուել Նոյերը կրկնեց «Բարսելոնայի» նախկին աստղ, աշխարհի չեմպիոն եւ Ամերիկայի գավաթակիր Արգենտինայի հավաքականի հարձակվող Լիոնել Մեսիի («Ինտեր Մայամի») ցուցանիշը Չեմպիոնների լիգայում։Մասնակցելով Իսպանիայի փոխչեմպիոն Մադրիդի «Ռեալի» դեմ հանդիպմանը Չեմպիոնների լիգայի քառորդ եզրափակիչում՝ Մանուել Նոյերը 136-րդ հանդիպումն անցկացրեց գլխավոր եվրագավաթային մրցաշարում։Ռեկորդակիրը «Ռեալի» նախկին դարպասապահ, իսպանացի Իկեր Կասիլյասն է, որը 149 հանդիպում է անցկացրել Չեմպիոնների լիգայում։Քառորդ եզրափակիչի առաջին խաղում «Բավարիան» «Ռեալին» հաղթել էր 2։1 հաշվով։ Նոյերը ճանաչվել էր հանդիպման լավագույն խաղացող։ Պատասխան հանդիպումը Մյունխենում տեղի կունենա ապրիլի 15-ին։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165603/
Մբապե․ Դեռ ոչինչ վճռված չէ,"Իսպանիայի փոխչեմպիոն Մադրիդի «Ռեալի» ֆրանսիացի հարձակվող Կիլիան Մբապեն սոցիալական ցանցերում արած գրառումով արձագանքել է Չեմպիոնների լիգայի քառորդ եզրափակիչի առաջին խաղում Գերմանիայի չեմպիոն Մյունխենի «Բավարիայից» կրած 1:2 հաշվով պարտությանը։«Դեռ ոչինչ վճռված չէ»,- գրել է Մբապեն։Պատասխան հանդիպումը Մյունխենում տեղի կունենա ապրիլի 15-ին։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165604/
ՉԼ․ ՊՍԺ-ի եւ «Լիվերպուլի» մեկնարկային կազմերը,"Ֆուտբոլի Չեմպիոնների լիգայի քառորդ եզրափակիչի առաջին խաղում Ֆրանսիայի չեմպիոն եւ Չեմպիոնների լիգայի գավաթակիր ՊՍԺ-ն կընդունի Անգլիայի չեմպիոն «Լիվերպուլին»։ Հայտնի են թիմերի մեկնարկային կազմերը։ՊՍԺ․ Սաֆոնով, Հակիմի, Մարկինյոս, Պաչո, Մենդեշ, Զաիր-Էմերի, Վիտինյա, Նեւեշ, Դուե, Դեմբելե, Կվարացխելիա։«Լիվերպուլ»․ Մամարդաշվիլի, Գոմես, Կոնատե, Վան Դեյք, Կերեզ, Գրավենբերխ, Մաք Ալիսթեր, Սոբոսլաի, Վիրց, Ֆրիմպոնգ, Էկիտիկե։Հանդիպումը կմեկնարկի Երեւանի ժամանակով 23:00-ին։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165605/
ՉԼ․ «Բարսելոնայի» եւ «Աթլետիկոյի» մեկնարկային կազմերը,"Ֆուտբոլի Չեմպիոնների լիգայի քառորդ եզրափակիչի առաջին խաղում Իսպանիայի չեմպիոն «Բարսելոնան» տանը կմրցի Մադրիդի «Աթլետիկոյի» հետ։ Հայտնի են թիմերի մեկնարկային կազմերը։«Բարսելոնա»․ Ժ․ Գարսիա, Կուբարսի, Կանսելու, Էրիկ Գարսիա, Մարտին, Օլմո, Կունդե, Պեդրի, Ռեշֆորդ, Յամալ, Լեւանդովսկի։«Աթլետիկո»․ Մուսո, Գանցկո, Լե Նորման, Մոլինա, Ռուջերի, Կոկե, Լիորենտե, Սիմեոնե, Լուկման, Ալվարես, Գրիզման։Հանդիպումը կմեկնարկի Երեւանի ժամանակով 23:00-ին։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165606/
ԵԼ․ «Բրագան» ու «Բետիսը» հաղթողին չպարզեցին (տեսանյութ),"Ֆուտբոլի Եվրոպայի լիգայի քառորդ եզրափակիչի առաջին խաղում պորտուգալական «Բրագան» ընդունեց իսպանական «Բետիսին»։ Գրանցվեց ոչ ոքի՝ 1:1:Եվրոպայի լիգա, քառորդ եզրափակիչ, առաջին հանդիպում«Բրագա» (Պորտուգալի) - «Բետիս» (Իսպանիա)` 1:1 (տեսանյութ)Ֆլորիան Գրիլիչ, 5 - Կուչո Էրնանդես, 62, 11մԱպրիլի 9«Բոլոնիա» (Իտալիա) - «Աստոն Վիլա» (Անգլիա)` 23:00«Պորտու» (Պորտուգալիա) - «Նոթինգեմ Ֆորեսթ» (Անգլիա)` 23:00«Ֆրայբուրգ» (Գերմանիա) - «Սելթա» (Իսպանիա)` 23:00Պատասխան հանդիպումները տեղի կունենան ապրիլի 16-ին։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165607/
Կոնֆերենցիաների լիգա․ Օրվա հանդիպումները,"Ֆուտբոլի Կոնֆերենցիաների լիգայում ապրիլի 9-ին տեղի կունենան քառորդ եզրափակիչի առաջին հանդիպումները։«Ռայո Վալիեկանո» (Իսպանիա) - «ԱԵԿ Աթենք» (Հունաստան)` 20:45 (Երեւանի ժամանակ)«Քրիսթալ Փելաս» (Անգլիա) - «Ֆիորենտինա» (Իտալիա)՝ 23:00«Մայնց» (Գերմանիա) - «Ստրասբուրգ» (Ֆրանսիա)` 23:00«Շախտյոր Դոնեցկ» (Ուկրաինա) - «ԱԶ Ալկմար» (Նիդերլանդներ)` 23:00Պատասխան հանդիպումները տեղի կունենան ապրիլի 16-ին։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165608/
Եվրոպայի լիգա․ Օրվա հանդիպումները,"Ֆուտբոլի Եվրոպայի լիգայում ապրիլի 9-ին կավարտվեն քառորդ եզրափակիչի առաջին հանդիպումները։Եվրոպայի լիգա, քառորդ եզրափակիչ, առաջին հանդիպում«Բոլոնիա» (Իտալիա) - «Աստոն Վիլա» (Անգլիա)` 23:00 (Երեւանի ժամանակ)«Պորտու» (Պորտուգալիա) - «Նոթինգեմ Ֆորեսթ» (Անգլիա)` 23:00«Ֆրայբուրգ» (Գերմանիա) - «Սելթա» (Իսպանիա)` 23:00Ապրիլի 8«Բրագա» (Պորտուգալի) - «Բետիս» (Իսպանիա)` 1:1Ֆլորիան Գրիլիչ, 5 - Կուչո Էրնանդես, 62, 11մՊատասխան հանդիպումները տեղի կունենան ապրիլի 16-ին։Հետևեք NEWS.am SPORT-ին Facebook-ում, Twitter և Telegram-ում",Sport,https://sport.news.am/arm/news/165609/
